TF	target
POU4F3	SLC35E2A
TP73	SLC35E2A
TP53	SLC35E2A
RUNX1	SLC35E2A
ONECUT3	SLC35E2A
HES7	SLC35E2A
PKNOX2	SLC35E2A
HES5	SLC35E2A
ZNF384	SLC35E2A
Sox2	SLC35E2A
NRL	SLC35E2A
SOX10	SLC35E2A
Arid5a	SLC35E2A
Mafb	SLC35E2A
Six3	SLC35E2A
CEBPA	SLC35E2A
SP2	SLC35E2A
Pitx1	SLC35E2A
OTX1	SLC35E2A
OTX2	SLC35E2A
RHOXF1	SLC35E2A
IRF3	SLC35E2A
NR4A2	SLC35E2A
NR1A4	SLC35E2A
Spz1	SLC35E2A
JUN	SLC35E2A
JDP2(var	SLC35E2A
CREB1	SLC35E2A
Creb5	SLC35E2A
GSC2	SLC35E2A
GSC	SLC35E2A
MEF2A	SLC35E2A
MEF2D	SLC35E2A
MEF2B	SLC35E2A
NFKB1	SLC35E2A
NFKB2	SLC35E2A
IRF1	SLC35E2A
CTCFL	SLC35E2A
SREBF2	SLC35E2A
Gfi1	SLC35E2A
ZNF354C	SLC35E2A
ISL2	SLC35E2A
EBF1	SLC35E2A
MEF2C	SLC35E2A
ZSCAN4	SLC35E2A
ESR2	SLC35E2A
SP1	SLC35E2A
KLF5	SLC35E2A
PLAG1	SLC35E2A
Zfx	SLC35E2A
Gfi1b	SLC35E2A
SP4	SLC35E2A
FOSL2	SLC35E2A
ZNF263	SLC35E2A
PITX3	SLC35E2A
GATA6	SLC35E2A
GLI2	SLC35E2A
TWIST1	SLC35E2A
CTCF	SLC35E2A
STAT1	SLC35E2A
NFYA	SLC35E2A
TCF7L1	SLC35E2A
Tcf7	SLC35E2A
NR2C2	SLC35E2A
Mecom	SLC35E2A
FOXH1	SLC35E2A
EWSR1-FLI1	SLC35E2A
PPARA	TMEM52
E2F6	TMEM52
MEF2A	TMEM52
MEF2D	TMEM52
MEF2B	TMEM52
THAP1	TMEM52
IRF1	TMEM52
IRF9	TMEM52
Nr2f6(var	TMEM52
MEF2C	TMEM52
Nfe2l2	TMEM52
Rarg	TMEM52
MAF	TMEM52
IRF8	TMEM52
IRF7	TMEM52
PBX3	TMEM52
RARA	TMEM52
Nr5a2	TMEM52
STAT1	TMEM52
MYF6	TMEM52
ZNF282	TMEM52
SCRT1	TMEM52
SP2	GABRD
CTCFL	GABRD
SP1	GABRD
KLF5	GABRD
ZIC4	GABRD
Znf423	GABRD
ZIC1	GABRD
SP2	LOC105378591
Pitx1	PRKCZ
RHOXF1	PRKCZ
IRF3	LOC105378591
E2F6	LOC105378591
MEF2A	PRKCZ
MEF2D	PRKCZ
MEF2B	PRKCZ
IRF1	LOC105378591
IRF9	LOC105378591
Arid3a	PRKCZ
PRDM1	LOC105378591
FOXP1	LOC105378591
FOXP2	LOC105378591
FOXK2	LOC105378591
MEF2C	PRKCZ
ZNF384	LOC105378591
SP1	LOC105378591
IRF8	LOC105378591
IRF7	LOC105378591
FOXD2	LOC105378591
FOXG1	LOC105378591
Lhx3	PRKCZ
BATF	PRKCZ
LIN54	PRKCZ
ZNF263	LOC105378591
GATA6	LOC105378591
JDP2	PRKCZ
IRF2	LOC105378591
STAT1	LOC105378591
YY1	PRKCZ
Foxq1	LOC105378591
EWSR1-FLI1	LOC105378591
SPI1	PRKCZ
HES7	PRKCZ
HES5	PRKCZ
MAFG	PRKCZ
FOXC2	SKI
TP63	SKI
TP73	SKI
TP53	SKI
KLF9	SKI
ZBTB7C	SKI
ZBTB7B	SKI
JDP2(var	SKI
CREB1	SKI
Creb5	SKI
HIC2	SKI
IRF1	SKI
IRF9	SKI
ZNF143	SKI
NFIC	SKI
Stat5a	SKI
KLF14	SKI
RUNX2	SKI
FOXP2	SKI
POU5F1	SKI
SREBF1	SKI
ZSCAN4	SKI
ZNF384	SKI
Foxd3	SKI
Nfe2l2	SKI
SP3	SKI
KLF16	SKI
FOSL2	SKI
MAF	SKI
RREB1	SKI
PBX3	SKI
STAT1	SKI
JUND(var	SKI
Sox3	SKI
SOX15	SKI
XBP1	SKI
JUN	SKI
DUXA	SKI
Foxj3	SKI
IRF2	SKI
IRF7	SKI
DUX4	SKI
HES5	SKI
GRHL2	SKI
PROX1	SKI
Znf423	SKI
Bcl6	SKI
SP2	MORN1
ESR1	MORN1
Klf1	MORN1
Klf12	RER1
KLF9	RER1
BCL6B	MORN1
TFAP2B	MORN1
HIC2	RER1
ASCL1	RER1
ZEB1	RER1
HES7	MORN1
Myod1	RER1
MSC	RER1
TCF3	RER1
Ascl2	RER1
FIGLA	RER1
SP8	RER1
TCF4	RER1
EBF1	MORN1
EGR2	RER1
EGR4	RER1
ESR2	MORN1
SP1	MORN1
SP3	RER1
MZF1	MORN1
TFAP2C(var	MORN1
TFAP2B(var	MORN1
TFAP2A(var	MORN1
ETV6	RER1
KLF5	MORN1
ELK4	RER1
ZIC4	RER1
ZIC3	RER1
SP4	RER1
Rarg(var	MORN1
ZNF263	MORN1
ZNF263	RER1
Zfx	RER1
SCRT2	RER1
GCM1	MORN1
SPIB	RER1
SNAI2	RER1
EGR3	RER1
EWSR1-FLI1	RER1
Nr1h3	MORN1
ZIC1	RER1
Bcl6	MORN1
KLF4	PEX10
Klf1	PEX10
KLF9	PEX10
Ar	PEX10
NR3C1	PEX10
NR3C2	PEX10
TFAP2B(var	PEX10
TFAP2C(var	PEX10
TFAP2A	PEX10
PAX1	PEX10
PAX9	PEX10
ZSCAN4	PEX10
MZF1	PEX10
RREB1	PEX10
Ahr	PEX10
PAX5	PEX10
Zfx	PEX10
MAFG	PEX10
SP2	PANK4
Klf1	PANK4
CTCFL	PANK4
SP1	PANK4
SP3	PANK4
KLF16	PANK4
MZF1	PANK4
NRL	PANK4
KLF5	PANK4
Zfx	PANK4
NR2C2	PANK4
EGR3	PANK4
Mafb	PANK4
E2F1	PANK4
Gfi1	PANK4
HSF4	PANK4
HSF1	PANK4
HSF2	PANK4
PBX3	PANK4
GLI2	PANK4
INSM1	TNFRSF14-AS1
TFAP2A(var	TNFRSF14-AS1
Klf1	TNFRSF14-AS1
NFKB1	TNFRSF14-AS1
NFYB	TNFRSF14-AS1
ZNF354C	TNFRSF14-AS1
ZNF143	TNFRSF14-AS1
SP1	TNFRSF14-AS1
SP3	TNFRSF14-AS1
MZF1	TNFRSF14-AS1
Dux	TNFRSF14-AS1
KLF5	TNFRSF14-AS1
RELA	TNFRSF14-AS1
REL	TNFRSF14-AS1
SP4	TNFRSF14-AS1
IRF5	TNFRSF14-AS1
GATA1	TNFRSF14-AS1
DUXA	TNFRSF14-AS1
NFYA	TNFRSF14-AS1
FOXH1	TNFRSF14-AS1
ZNF282	TNFRSF14-AS1
DUX4	TNFRSF14-AS1
RELB	TNFRSF14-AS1
KLF4	PRXL2B
Klf1	PRXL2B
KLF9	PRXL2B
TFAP2B	PRXL2B
TFAP2A(var	PRXL2B
ZEB1	PRXL2B
TFAP2B(var	PRXL2B
TFAP2A	PRXL2B
SP8	PRXL2B
SP3	PRXL2B
KLF16	PRXL2B
SMAD2	PRXL2B
KLF5	PRXL2B
Nr5a2	PRXL2B
Klf12	PRXL2B
MSC	PRXL2B
KLF14	PRXL2B
Tcf21	PRXL2B
RREB1	PRXL2B
SP4	PRXL2B
KLF13	PRXL2B
Rfx1	TPRG1L
NFIC	TPRG1L
NFIX	TPRG1L
ZBTB7C	TPRG1L
ZBTB7B	TPRG1L
NFIA	TPRG1L
MZF1	TPRG1L
RREB1	TPRG1L
SMAD2	TPRG1L
FIGLA	TPRG1L
Nr5a2	TPRG1L
MTF1	TPRG1L
BATF3	TPRG1L
Hand1	LRRC47
THAP1	LRRC47
ZEB1	LRRC47
Arid3a	LRRC47
SREBF2	LRRC47
SREBF1	LRRC47
TBX19	LRRC47
TFE3	LRRC47
SP8	LRRC47
POU4F1	LRRC47
MEF2C	LRRC47
JUN(var	LRRC47
Pou5f1	LRRC47
HOXA10	LRRC47
TFEC	LRRC47
TFEB	LRRC47
Foxd3	LRRC47
Hoxd9	LRRC47
FOSL2	LRRC47
FOSL1	LRRC47
SOX10	LRRC47
USF1	LRRC47
YY1	LRRC47
E2F2	LRRC47
Dlx3	NPHP4
BSX	NPHP4
MSX2	NPHP4
MSX1	NPHP4
RAX2	NPHP4
LHX9	NPHP4
DLX6	NPHP4
LBX1	NPHP4
Shox2	NPHP4
BARX1	NPHP4
NKX6-2	NPHP4
Prrx2	NPHP4
ISX	NPHP4
Dlx4	NPHP4
EN1	NPHP4
SHOX	NPHP4
UNCX	NPHP4
PRRX1	NPHP4
Msx3	NPHP4
ESX1	NPHP4
GSX2	NPHP4
LBX2	NPHP4
ALX3	NPHP4
LHX2	NPHP4
EN2	NPHP4
GSX1	NPHP4
Barhl1	NPHP4
GBX2	NPHP4
MYBL1	NPHP4
REST	NPHP4
POU1F1	NPHP4
Alx4	NPHP4
NFYB	NPHP4
Arid3a	NPHP4
NKX2-8	NPHP4
SOX4	NPHP4
NFIL3	NPHP4
MZF1	NPHP4
NEUROD1	NPHP4
POU2F1	NPHP4
POU3F3	NPHP4
PLAG1	NPHP4
TBX5	NPHP4
ZNF263	NPHP4
Arid5a	NPHP4
SOX21	NPHP4
Nkx2-5	NPHP4
SIX1	NPHP4
HOXB13	NPHP4
HOXD13	NPHP4
Hoxd9	NPHP4
HOXA13	NPHP4
SIX2	NPHP4
GATA3	NPHP4
GATA5	NPHP4
GRHL1	NPHP4
Gata4	NPHP4
TFCP2	NPHP4
CDX1	NPHP4
GRHL2	NPHP4
